NOME_FACULDADE,PAIS,CRITERIOS_SELECAO,CURSOS_DESTAQUE,PERFIL_DESEJADO
USP,Brasil,"Exame de admissão, Notas do Ensino Médio","Medicina, Engenharia, Direito","Inovadores, Comprometidos, Pró-ativos, Pesquisas científicas"
UNICAMP,Brasil,"Exame de admissão, Notas do Ensino Médio","Computação, Física, Química","Criativos, Analíticos, Detalhistas"
UFRJ,Brasil,"Exame de admissão, Notas do Ensino Médio","Arquitetura, Medicina, Biologia","Dedicados, Curiosos, Responsáveis"
MIT,Estados Unidos,"SAT/ACT, Essays, Recomendações","Computação, Física, Negócios","Inovadores, Líderes, Criativos"
Stanford,Estados Unidos,"SAT/ACT, Essays, Recomendações","Direito, Medicina, Engenharia","Empreendedores, Motivados, Excelentes habilidades comunicativas"
Harvard,Estados Unidos,"SAT/ACT, Essays, Recomendações","Negócios, Direito, Medicina","Líderes, Inovadores, Analíticos"
Cambridge,Reino Unido,"A-Levels, Entrevista, Teste de Admissão","História, Física, Medicina","Pesquisadores, Inquisitivos, Analíticos"
Oxford,Reino Unido,"A-Levels, Entrevista, Teste de Admissão","Filosofia, Matemática, Economia","Críticos, Disciplinados, Motivados"
Imperial College,Reino Unido,"A-Levels, Entrevista, Teste de Admissão","Engenharia, Medicina, Química","Pesquisadores, Motivados, Inovadores"
University of Toronto,Canadá,"Notas, Teste de admissão, Experiência prévia","Medicina, Direito, Psicologia","Comprometidos, Dedicados, Analíticos"
McGill University,Canadá,"Notas, Teste de admissão, Experiência prévia","Biologia, Química, Medicina","Curiosos, Criativos, Pró-ativos"
University of British Columbia,Canadá,"Notas, Teste de admissão, Experiência prévia","Engenharia, Computação, Psicologia","Inovadores, Práticos, Pesquisadores"
University of Sydney,Austrália,"ATAR, Entrevista, Portfólio","Direito, Educação, Artes","Criativos, Inovadores, Comprometidos"
University of Melbourne,Austrália,"ATAR, Entrevista, Portfólio","Medicina, Biologia, Educação","Dedicados, Motivados, Inquisitivos"
Australian National University,Austrália,"ATAR, Entrevista, Portfólio","Ciências Ambientais, Física, Química","Pesquisadores, Analíticos, Sustentáveis"
University of Munich,Alemanha,"Abitur, Entrevista, Notas do Ensino Médio","Engenharia, Biologia, Química","Pró-ativos, Detalhistas, Analíticos"
University of Heidelberg,Alemanha,"Abitur, Entrevista, Notas do Ensino Médio","Medicina, Psicologia, Artes","Empáticos, Responsáveis, Criativos"
Technical University of Berlin,Alemanha,"Abitur, Entrevista, Notas do Ensino Médio","Computação, Engenharia, Física","Inovadores, Técnicos, Analíticos"
